Nodule	Original	Rhizosphere	Root zone	Unknown	
N0.RT.1	0.0744	0.0256	0.3201	0.0123	0.5676
N0.RT.2	0.6546	0.0269	0.1089	0.0094	0.2002
N0.RT.3	0.1182	0.0293	0.3204	0.004	0.5281
N0.RT.4	0.0128	0.0248	0.4542	0.0067	0.5015
N0.RT.5	0.489	0.0208	0.1013	0.0191	0.3698
N2.RT.1	0.1533	0.0081	0.2872	0.0121	0.5393
N2.RT.2	0.1112	0.009	0.2844	0.0103	0.5851
N2.RT.3	0.0434	0.0268	0.3226	0.0303	0.5769
N2.RT.4	0.3315	0.0149	0.2309	0.031	0.3917
N2.RT.5	0.0653	0.0152	0.2988	0.0178	0.6029
N4.RT.1	0.2481	0.0125	0.337	0.0193	0.3831
N4.RT.2	0.2792	0.0102	0.3217	0.0294	0.3595
N4.RT.3	0.1057	0.0088	0.2971	0.01	0.5784
N4.RT.4	0.129	0.0082	0.3968	0.0174	0.4486
N4.RT.5	0.2102	0.0078	0.4137	0.01	0.3583
N6.RT.1	0.0103	0.0111	0.4436	0.0077	0.5273
N6.RT.2	0.125	0.0048	0.3362	0.0087	0.5253
N6.RT.3	0.0217	0.0072	0.372	0.0192	0.5799
N6.RT.4	0.2005	0.0089	0.43	0.0085	0.3521
N6.RT.5	0.3343	0.0062	0.3302	0.0123	0.317
