Nodule	Original	Rhizosphere	Root	Unknown	
N0.Z.1	0.0027	0.504	0.3279	0.0089	0.1565
N0.Z.2	0.0016	0.4817	0.3524	0.0054	0.1589
N0.Z.3	0.0033	0.4081	0.3734	0.0057	0.2095
N0.Z.4	0.0013	0.3842	0.4839	0.0055	0.1251
N0.Z.5	0.0017	0.3972	0.4178	0.0118	0.1715
N2.Z.1	0.0035	0.363	0.3505	0.0141	0.2689
N2.Z.2	0.0027	0.3928	0.3878	0.0177	0.199
N2.Z.3	0.0034	0.3644	0.3976	0.0111	0.2235
N2.Z.4	0.0018	0.3709	0.3664	0.0098	0.2511
N2.Z.5	0.0013	0.3508	0.4748	0.0106	0.1625
N4.Z.1	0.003	0.523	0.2485	0.0146	0.2109
N4.Z.2	0.0052	0.4809	0.3018	0.0112	0.2009
N4.Z.3	0.0029	0.5343	0.2377	0.0146	0.2105
N4.Z.4	0.0023	0.5406	0.2692	0.0183	0.1696
N4.Z.5	0.0024	0.4971	0.3106	0.0126	0.1773
N6.Z.1	8.00E-04	0.4822	0.3249	0.0112	0.1809
N6.Z.2	7.00E-04	0.5325	0.2502	0.0189	0.1977
N6.Z.3	0.0014	0.3683	0.3283	0.0032	0.2988
N6.Z.4	0.0024	0.4488	0.3291	0.0075	0.2122
N6.Z.5	0.0018	0.5216	0.2494	0.0076	0.2196
